Education,Income,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,age,nb_enf,situation_couple
Graduation,35790.0,12,6,20,30,1,3,0.0,0.0,0.0,1.0,1.0,0,45,1,celib
Graduation,82582.0,510,120,550,156,40,241,0.0,1.0,2.0,2.0,0.0,0,45,0,celib
Graduation,66373.0,328,9,124,12,24,109,2.0,1.0,0.0,2.0,1.0,0,44,2,couple
Master,82384.0,984,51,432,180,120,190,0.0,1.0,2.0,3.0,0.0,0,67,0,couple
Graduation,70287.0,295,35,482,121,120,40,0.0,1.0,1.0,2.0,1.0,0,56,0,celib
Graduation,27938.0,13,0,8,2,1,5,0.0,0.0,0.0,1.0,1.0,0,34,1,celib
Graduation,51412.0,11,3,22,2,2,6,0.0,0.0,0.0,1.0,1.0,0,40,1,celib
PhD,55954.0,447,0,28,0,0,43,1.0,2.0,0.0,1.0,2.0,0,54,1,couple
Master,75777.0,712,26,538,69,13,80,0.0,1.0,1.0,2.0,0.0,0,40,0,celib
Graduation,66653.0,452,18,102,16,18,6,1.0,1.0,0.0,2.0,1.0,0,47,2,couple
Graduation,61823.0,523,7,134,37,14,169,1.0,2.0,0.0,2.0,2.0,0,70,1,celib
PhD,67680.0,546,0,48,0,6,6,0.0,2.0,1.0,2.0,1.0,0,71,1,celib
Graduation,70666.0,398,40,367,119,122,30,0.0,2.0,1.0,1.0,1.0,0,74,0,couple
Graduation,25721.0,1,3,6,3,6,15,0.0,0.0,0.0,0.0,2.0,0,51,1,couple
Graduation,32474.0,10,0,1,0,0,0,0.0,0.0,0.0,0.0,2.0,0,55,2,couple
2n Cycle,88194.0,688,14,309,201,24,38,0.0,3.0,2.0,2.0,1.0,0,43,1,celib
Graduation,69096.0,247,49,159,7,82,109,0.0,1.0,0.0,2.0,1.0,0,64,1,couple
Graduation,74854.0,856,59,487,58,29,73,2.0,0.0,1.0,1.0,1.0,0,52,3,couple
Master,66991.0,496,36,460,189,60,12,1.0,1.0,2.0,1.0,1.0,0,68,0,couple
2n Cycle,51412.0,25,3,43,17,4,17,1.0,1.0,0.0,1.0,2.0,0,49,1,couple
Graduation,65031.0,258,107,291,84,37,86,1.0,2.0,1.0,3.0,2.0,0,63,1,couple
PhD,60631.0,565,6,65,0,6,19,1.0,2.0,0.0,2.0,2.0,0,47,2,couple
Graduation,28332.0,14,10,13,4,15,9,0.0,0.0,0.0,1.0,0.0,0,70,0,couple
Graduation,40246.0,2,1,6,2,1,1,0.0,0.0,0.0,0.0,1.0,0,45,1,celib
Master,75251.0,721,111,925,97,18,18,0.0,1.0,1.0,1.0,1.0,0,50,0,couple
Graduation,75825.0,1032,105,779,137,105,51,0.0,1.0,2.0,2.0,1.0,0,46,0,celib
2n Cycle,26326.0,1,0,5,0,3,9,0.0,0.0,0.0,1.0,1.0,1,46,0,couple
Graduation,56046.0,577,0,64,0,0,51,0.0,2.0,0.0,2.0,2.0,0,57,0,couple
Graduation,29760.0,64,4,68,7,5,17,1.0,1.0,0.0,1.0,2.0,0,37,1,celib
Graduation,26304.0,4,1,5,2,0,4,0.0,0.0,0.0,0.0,2.0,0,53,1,couple
2n Cycle,23559.0,25,5,19,7,0,23,1.0,1.0,0.0,1.0,2.0,0,49,1,couple
Graduation,81361.0,163,23,424,27,65,76,0.0,1.0,2.0,3.0,0.0,0,35,0,celib
Graduation,29440.0,17,8,14,10,4,3,0.0,0.0,0.0,1.0,2.0,0,62,2,couple
Master,36138.0,130,0,16,0,0,5,1.0,1.0,0.0,1.0,2.0,0,52,2,couple
Graduation,50388.0,292,6,37,0,3,34,1.0,1.0,0.0,1.0,2.0,0,65,1,celib
Graduation,79593.0,350,60,568,110,133,145,0.0,1.0,1.0,2.0,0.0,0,49,0,couple
Graduation,54178.0,135,9,39,4,0,7,0.0,0.0,0.0,1.0,0.0,0,55,1,couple
PhD,51412.0,230,42,192,49,37,53,3.0,1.0,0.0,2.0,2.0,0,65,3,couple
Graduation,51412.0,7,0,8,2,0,1,0.0,0.0,0.0,0.0,2.0,0,65,2,celib
Master,51412.0,445,37,359,98,28,18,0.0,0.0,1.0,2.0,0.0,0,49,0,couple
Master,42394.0,15,2,10,0,1,4,0.0,0.0,0.0,1.0,2.0,0,50,1,celib
PhD,23626.0,27,2,14,0,0,0,1.0,1.0,0.0,1.0,1.0,0,52,1,couple
Graduation,30096.0,5,3,11,12,5,9,0.0,0.0,0.0,1.0,1.0,0,39,1,couple
Graduation,47916.0,505,0,26,0,0,75,1.0,1.0,1.0,1.0,1.0,0,62,1,celib
Graduation,51813.0,51,2,7,0,1,2,0.0,0.0,0.0,1.0,2.0,0,50,2,celib
2n Cycle,78497.0,207,26,447,75,0,223,0.0,1.0,2.0,3.0,0.0,0,71,0,couple
PhD,50150.0,135,46,92,65,61,11,0.0,1.0,0.0,2.0,1.0,0,39,0,couple
2n Cycle,47823.0,53,1,5,2,1,10,0.0,0.0,0.0,1.0,2.0,0,62,1,celib
PhD,34554.0,41,1,6,2,0,5,0.0,0.0,0.0,1.0,1.0,0,63,1,celib
Graduation,85693.0,386,172,183,185,132,111,0.0,2.0,1.0,2.0,1.0,0,43,1,couple
PhD,65846.0,562,81,276,80,40,81,0.0,1.0,1.0,1.0,1.0,0,77,0,couple
Graduation,87195.0,217,76,690,50,26,38,0.0,1.0,3.0,1.0,0.0,0,63,0,couple
Basic,24594.0,1,3,6,10,0,9,0.0,0.0,0.0,1.0,1.0,0,43,1,couple
Graduation,49096.0,144,1,32,2,1,7,1.0,1.0,0.0,1.0,2.0,0,58,2,couple
Graduation,52413.0,295,106,271,75,98,65,1.0,1.0,1.0,3.0,1.0,0,53,2,couple
Graduation,38557.0,76,3,31,4,4,27,0.0,1.0,0.0,1.0,1.0,0,44,1,celib
Master,89058.0,454,194,106,31,22,43,0.0,1.0,1.0,1.0,0.0,0,62,0,couple
Graduation,77298.0,425,115,292,23,35,79,0.0,1.0,1.0,3.0,1.0,0,43,1,couple
PhD,68126.0,1332,17,311,23,51,86,0.0,1.0,1.0,1.0,2.0,0,31,0,celib
Master,57288.0,527,0,21,0,0,60,1.0,2.0,0.0,2.0,2.0,0,59,1,couple
Graduation,86037.0,490,44,125,29,20,22,0.0,1.0,1.0,2.0,1.0,0,31,0,celib
PhD,43974.0,378,0,101,0,0,72,1.0,1.0,1.0,1.0,1.0,0,42,1,couple
Graduation,50785.0,64,1,21,0,1,27,0.0,0.0,0.0,1.0,1.0,0,60,2,celib
Graduation,90765.0,547,99,812,151,82,33,0.0,1.0,1.0,1.0,0.0,0,52,0,couple
2n Cycle,36550.0,47,90,94,123,103,120,1.0,2.0,0.0,1.0,2.0,0,44,1,couple
2n Cycle,30753.0,12,5,25,0,9,30,0.0,0.0,0.0,1.0,1.0,0,55,2,couple
Graduation,21918.0,1,6,7,11,5,3,0.0,0.0,0.0,1.0,1.0,0,53,1,couple
Master,56129.0,320,48,133,39,72,48,1.0,1.0,0.0,2.0,1.0,0,69,1,couple
Master,32557.0,34,3,29,0,4,10,1.0,0.0,0.0,1.0,1.0,0,55,1,celib
Master,19510.0,9,0,7,3,4,7,0.0,0.0,0.0,1.0,2.0,0,37,2,couple
Graduation,30992.0,17,0,14,7,3,2,0.0,0.0,0.0,1.0,2.0,0,46,1,celib
Graduation,101970.0,722,27,102,44,72,168,0.0,1.0,2.0,3.0,0.0,0,39,0,celib
2n Cycle,71488.0,162,33,124,40,28,172,0.0,1.0,1.0,2.0,0.0,0,57,0,couple
Graduation,79607.0,450,133,951,173,0,216,0.0,1.0,1.0,1.0,0.0,0,38,0,celib
Master,54348.0,70,0,16,0,0,4,0.0,0.0,0.0,1.0,2.0,0,69,2,couple
PhD,51412.0,352,0,27,10,0,15,1.0,1.0,0.0,2.0,1.0,0,61,1,couple
PhD,77376.0,492,19,110,16,12,12,1.0,1.0,1.0,2.0,1.0,0,66,2,couple
Graduation,62998.0,120,58,73,65,89,58,1.0,1.0,1.0,1.0,1.0,0,70,1,couple
Master,61331.0,534,5,47,0,5,41,1.0,2.0,0.0,1.0,2.0,0,64,2,celib
Graduation,73448.0,236,106,189,23,41,130,0.0,2.0,0.0,2.0,1.0,0,53,0,couple
Graduation,51412.0,231,65,196,38,71,124,0.0,1.0,1.0,2.0,1.0,0,59,1,couple
PhD,41551.0,220,0,33,3,0,23,1.0,1.0,0.0,1.0,2.0,0,58,2,couple
PhD,62981.0,796,14,590,38,44,0,0.0,1.0,1.0,3.0,1.0,0,55,0,couple
Basic,9548.0,0,1,3,10,6,9,0.0,0.0,0.0,1.0,2.0,0,46,1,celib
PhD,33762.0,53,1,34,2,0,16,1.0,0.0,0.0,0.0,2.0,0,63,3,couple
PhD,35860.0,15,0,8,4,2,20,0.0,0.0,0.0,0.0,1.0,0,49,2,celib
PhD,36921.0,17,1,12,3,1,4,0.0,0.0,0.0,1.0,2.0,0,57,2,celib
Master,92859.0,962,61,921,52,61,20,0.0,1.0,1.0,2.0,0.0,0,30,0,celib
Master,65104.0,738,0,232,13,20,50,0.0,1.0,1.0,2.0,2.0,0,46,1,couple
Graduation,86111.0,399,28,756,36,40,126,0.0,1.0,2.0,2.0,0.0,0,60,0,couple
PhD,68352.0,614,16,132,43,33,33,1.0,2.0,1.0,2.0,1.0,0,48,1,celib
Graduation,41883.0,32,34,41,73,16,116,1.0,1.0,0.0,1.0,2.0,0,34,1,couple
Graduation,59809.0,598,16,141,32,41,49,1.0,1.0,1.0,1.0,2.0,0,46,2,couple
Graduation,23957.0,2,1,18,20,11,16,0.0,0.0,0.0,1.0,1.0,0,47,1,couple
Graduation,38547.0,6,1,10,0,1,4,0.0,0.0,0.0,0.0,2.0,1,41,1,couple
2n Cycle,35688.0,73,3,90,12,1,32,1.0,1.0,0.0,1.0,2.0,0,49,3,couple
Master,49605.0,42,16,29,12,20,8,0.0,0.0,0.0,1.0,1.0,0,56,0,couple
Master,59354.0,295,21,78,39,13,13,0.0,1.0,1.0,2.0,1.0,0,69,2,couple
Graduation,65747.0,346,17,48,23,13,13,1.0,2.0,0.0,1.0,1.0,0,53,1,couple
2n Cycle,46344.0,233,20,57,8,20,91,1.0,1.0,0.0,1.0,1.0,0,50,1,couple
Graduation,34176.0,5,7,24,19,14,20,1.0,1.0,0.0,1.0,1.0,0,34,1,celib
PhD,61010.0,888,0,57,0,0,76,0.0,2.0,1.0,2.0,1.0,0,70,1,couple
Graduation,69372.0,997,26,269,34,13,42,0.0,2.0,1.0,1.0,1.0,0,73,0,couple
Graduation,49967.0,212,6,69,4,12,3,1.0,1.0,0.0,1.0,2.0,0,64,1,celib
Graduation,60199.0,8,1,7,2,0,0,0.0,0.0,0.0,1.0,1.0,0,44,3,celib
Graduation,55375.0,42,11,57,10,28,14,0.0,0.0,0.0,1.0,0.0,0,45,1,couple
Graduation,80317.0,536,11,387,149,91,57,0.0,1.0,1.0,2.0,0.0,0,67,0,celib
Master,30523.0,5,0,3,0,0,5,0.0,0.0,0.0,0.0,2.0,0,64,3,celib
PhD,70356.0,1349,16,249,43,16,33,0.0,2.0,1.0,2.0,1.0,0,77,0,couple
Graduation,23228.0,53,3,49,7,4,5,1.0,1.0,0.0,1.0,2.0,0,38,1,couple
PhD,74165.0,1001,12,240,16,12,12,0.0,1.0,1.0,2.0,0.0,0,47,0,celib
Graduation,43482.0,18,1,32,6,3,28,1.0,0.0,0.0,1.0,1.0,0,56,3,couple
Graduation,62551.0,125,16,98,134,21,27,0.0,1.0,2.0,1.0,1.0,0,69,0,celib
Graduation,52332.0,212,5,33,7,0,2,0.0,1.0,0.0,1.0,1.0,0,63,0,celib
Graduation,66951.0,277,162,305,173,76,124,0.0,1.0,1.0,2.0,0.0,0,34,0,celib
Graduation,26091.0,15,10,19,8,17,20,1.0,0.0,0.0,1.0,1.0,0,65,2,couple
Graduation,33456.0,7,3,10,8,1,7,0.0,0.0,0.0,1.0,2.0,0,57,2,couple
Graduation,28718.0,12,4,6,11,8,16,0.0,0.0,0.0,1.0,2.0,0,40,1,couple
Graduation,50447.0,85,7,24,2,3,27,0.0,1.0,0.0,1.0,1.0,0,52,2,couple
PhD,53537.0,81,0,6,0,0,6,0.0,0.0,0.0,1.0,1.0,0,63,2,couple
Graduation,52074.0,59,0,12,0,0,48,0.0,0.0,0.0,0.0,1.0,0,55,1,celib
PhD,80427.0,1149,71,449,69,71,26,0.0,2.0,2.0,2.0,1.0,0,47,1,couple
PhD,83837.0,847,66,119,86,89,111,0.0,2.0,2.0,1.0,1.0,0,74,0,couple
PhD,38853.0,29,0,14,0,0,2,0.0,0.0,0.0,1.0,2.0,0,52,2,couple
Graduation,38285.0,2,0,5,2,0,1,0.0,0.0,0.0,1.0,0.0,0,63,3,couple
PhD,51650.0,152,3,22,2,5,7,0.0,1.0,0.0,1.0,1.0,0,46,1,couple
2n Cycle,16248.0,12,11,10,3,12,9,1.0,0.0,0.0,1.0,1.0,0,34,1,couple
Master,66835.0,620,26,195,34,17,141,0.0,1.0,1.0,3.0,0.0,0,76,0,couple
Master,30477.0,47,1,6,0,0,12,0.0,0.0,0.0,1.0,1.0,0,38,1,couple
Basic,28249.0,1,9,7,2,14,10,0.0,0.0,0.0,1.0,2.0,0,61,0,couple
Graduation,25271.0,10,1,18,10,4,7,0.0,0.0,0.0,0.0,2.0,0,39,1,couple
PhD,32303.0,35,0,2,0,0,2,0.0,0.0,0.0,1.0,1.0,0,52,1,celib
Graduation,61286.0,356,0,107,19,9,117,0.0,2.0,0.0,2.0,1.0,0,56,1,couple
Graduation,74068.0,783,30,537,140,76,15,0.0,1.0,2.0,2.0,0.0,0,46,0,couple
PhD,45759.0,42,1,18,3,0,4,0.0,0.0,0.0,1.0,2.0,0,58,2,couple
Basic,24882.0,1,4,10,29,0,36,0.0,0.0,0.0,0.0,1.0,0,44,1,couple
PhD,66973.0,466,22,432,147,113,102,0.0,2.0,2.0,3.0,1.0,0,33,0,couple
2n Cycle,36640.0,15,6,8,7,4,25,0.0,0.0,0.0,0.0,1.0,1,52,1,celib
Graduation,38872.0,23,3,21,3,19,22,0.0,1.0,0.0,1.0,2.0,0,34,1,couple
Graduation,51148.0,235,6,45,8,9,12,1.0,1.0,0.0,1.0,1.0,0,49,2,couple
Graduation,31353.0,10,0,10,3,1,7,0.0,0.0,0.0,0.0,2.0,0,45,2,couple
Master,69661.0,656,16,106,32,16,8,0.0,2.0,1.0,3.0,1.0,0,42,0,couple
Graduation,80067.0,519,17,813,27,173,51,0.0,1.0,1.0,1.0,0.0,0,68,0,couple
Graduation,86718.0,344,189,482,50,33,172,0.0,1.0,1.0,1.0,0.0,0,68,0,couple
PhD,46854.0,96,1,79,7,1,79,1.0,1.0,0.0,1.0,2.0,0,49,2,celib
Graduation,69142.0,448,4,34,6,4,39,1.0,2.0,0.0,2.0,1.0,0,70,1,celib
Graduation,75922.0,265,138,553,224,23,92,0.0,1.0,1.0,2.0,0.0,0,54,0,celib
Graduation,63693.0,587,43,337,42,87,54,1.0,3.0,1.0,2.0,1.0,0,44,1,celib
PhD,102160.0,763,29,138,76,176,58,0.0,1.0,2.0,2.0,1.0,0,45,0,couple
PhD,40637.0,22,0,13,0,0,3,0.0,0.0,0.0,1.0,2.0,0,57,2,celib
Master,18890.0,6,4,1,7,2,15,0.0,0.0,0.0,0.0,1.0,0,38,0,celib
Graduation,29604.0,7,6,13,7,6,14,0.0,0.0,0.0,1.0,2.0,0,34,1,couple
Master,48721.0,81,18,113,47,13,21,1.0,1.0,0.0,1.0,1.0,0,59,2,celib
Graduation,44794.0,54,0,7,0,0,4,0.0,0.0,0.0,1.0,2.0,0,56,1,couple
Graduation,64497.0,1170,48,320,42,32,192,1.0,2.0,1.0,2.0,2.0,0,68,1,celib
Graduation,46097.0,72,24,68,65,4,8,1.0,1.0,0.0,1.0,1.0,0,66,1,couple
Graduation,77972.0,613,22,319,33,102,12,0.0,1.0,1.0,2.0,0.0,0,68,0,couple
PhD,44377.0,224,0,30,0,0,10,2.0,1.0,0.0,1.0,2.0,0,54,2,couple
Master,46014.0,410,0,59,19,9,44,2.0,1.0,0.0,2.0,1.0,0,48,2,couple
Graduation,70951.0,239,10,554,254,87,54,0.0,1.0,1.0,2.0,0.0,0,37,0,couple
Graduation,41443.0,171,7,171,25,19,89,1.0,2.0,0.0,1.0,2.0,0,45,1,couple
2n Cycle,52195.0,12,0,4,0,0,1,0.0,0.0,0.0,0.0,2.0,0,44,3,celib
Master,83790.0,1076,16,417,42,48,16,0.0,2.0,2.0,1.0,1.0,0,74,0,couple
Master,44551.0,182,4,33,0,0,66,0.0,1.0,0.0,1.0,2.0,0,68,1,celib
Graduation,69508.0,824,32,162,42,32,43,0.0,2.0,1.0,2.0,1.0,0,42,1,couple
2n Cycle,45204.0,30,11,25,29,1,18,0.0,0.0,0.0,1.0,1.0,0,34,1,couple
Graduation,72460.0,377,10,540,80,30,10,0.0,1.0,1.0,2.0,0.0,0,53,0,couple
PhD,77622.0,520,7,154,19,0,14,0.0,1.0,1.0,3.0,1.0,0,52,2,couple
PhD,30732.0,155,1,25,0,1,3,1.0,1.0,0.0,1.0,2.0,0,42,1,couple
Graduation,63887.0,897,23,207,15,11,92,1.0,2.0,1.0,2.0,1.0,0,60,1,celib
Graduation,42011.0,131,0,16,2,1,39,1.0,1.0,0.0,1.0,2.0,0,44,1,couple
Graduation,51369.0,297,7,79,0,11,182,0.0,2.0,0.0,1.0,2.0,0,46,1,couple
Graduation,51537.0,787,20,204,0,0,92,1.0,0.0,0.0,2.0,2.0,0,70,1,celib
PhD,79930.0,792,86,740,67,51,17,0.0,1.0,1.0,2.0,0.0,0,50,0,couple
PhD,34320.0,4,1,9,3,0,0,0.0,0.0,0.0,0.0,2.0,0,36,1,couple
Graduation,37070.0,231,7,137,4,15,39,2.0,1.0,0.0,2.0,2.0,0,56,2,celib
2n Cycle,81975.0,983,76,184,180,138,27,0.0,1.0,1.0,1.0,1.0,0,60,1,celib
Graduation,38590.0,3,1,8,4,3,3,0.0,0.0,0.0,0.0,2.0,0,51,1,couple
Graduation,15033.0,0,4,5,6,0,4,0.0,0.0,0.0,1.0,1.0,0,71,0,celib
PhD,62745.0,562,21,464,28,10,32,1.0,2.0,2.0,2.0,1.0,0,57,1,couple
2n Cycle,22212.0,5,9,20,6,8,21,0.0,0.0,0.0,1.0,1.0,0,47,1,couple
Master,23661.0,18,0,4,0,0,1,0.0,0.0,0.0,1.0,2.0,0,40,1,couple
PhD,79761.0,415,5,124,15,35,11,0.0,1.0,0.0,3.0,1.0,0,64,1,celib
2n Cycle,60182.0,8,0,5,7,0,2,0.0,0.0,0.0,0.0,1.0,0,52,1,celib
Graduation,73455.0,901,61,757,186,163,20,0.0,1.0,1.0,2.0,1.0,0,54,0,celib
Graduation,64961.0,382,114,276,75,124,38,0.0,1.0,1.0,1.0,1.0,0,64,1,couple
Graduation,22804.0,14,1,7,2,1,1,0.0,0.0,0.0,0.0,2.0,0,51,1,celib
Graduation,73687.0,559,153,503,218,13,181,0.0,1.0,2.0,2.0,0.0,0,32,0,couple
Graduation,61074.0,789,0,133,0,28,152,1.0,2.0,1.0,2.0,1.0,0,64,1,couple
PhD,31686.0,11,0,5,0,0,1,0.0,0.0,0.0,1.0,1.0,0,58,2,couple
Graduation,80134.0,1218,16,272,104,0,80,0.0,1.0,1.0,1.0,1.0,0,50,1,couple
Graduation,75027.0,925,64,179,133,12,77,0.0,2.0,1.0,1.0,1.0,0,69,1,couple
PhD,67546.0,864,134,768,150,38,172,0.0,1.0,2.0,1.0,1.0,0,34,0,couple
Master,65176.0,960,28,183,220,70,70,1.0,2.0,1.0,1.0,1.0,0,53,1,couple
Master,31160.0,16,3,25,6,1,13,0.0,0.0,0.0,1.0,2.0,0,47,1,celib
Graduation,29938.0,3,3,7,0,2,11,0.0,0.0,0.0,1.0,1.0,0,37,1,celib
Graduation,102692.0,168,148,444,32,172,148,0.0,1.0,2.0,3.0,0.0,0,48,0,celib
2n Cycle,26490.0,45,47,52,21,20,25,0.0,1.0,0.0,1.0,1.0,0,64,0,couple
Graduation,75702.0,650,28,353,45,42,30,1.0,1.0,1.0,2.0,2.0,0,55,2,couple
PhD,30899.0,24,0,8,0,0,1,0.0,0.0,0.0,1.0,1.0,0,48,1,celib
PhD,63342.0,918,21,118,13,10,21,1.0,2.0,1.0,1.0,1.0,0,61,1,couple
Graduation,45989.0,138,33,87,28,24,12,1.0,1.0,0.0,1.0,1.0,0,58,1,celib
Graduation,18701.0,12,4,2,10,6,10,1.0,0.0,0.0,1.0,1.0,0,58,2,celib
PhD,40737.0,11,0,4,0,0,2,0.0,0.0,0.0,0.0,2.0,0,65,3,celib
Graduation,15287.0,1,2,8,4,3,13,0.0,0.0,0.0,0.0,1.0,0,43,1,celib
PhD,69674.0,554,41,215,11,0,24,1.0,2.0,0.0,2.0,1.0,0,54,2,celib
Master,44159.0,167,2,62,24,13,7,1.0,1.0,0.0,2.0,1.0,0,52,1,couple
PhD,37717.0,9,0,6,4,1,5,0.0,0.0,0.0,0.0,2.0,0,44,1,couple
Master,43776.0,177,2,71,3,2,20,1.0,1.0,0.0,1.0,2.0,0,70,2,couple
Master,38179.0,38,4,22,4,2,20,1.0,1.0,0.0,1.0,2.0,0,56,2,couple
Graduation,80124.0,483,84,398,205,84,241,0.0,1.0,2.0,2.0,0.0,0,59,0,couple
PhD,38097.0,77,2,35,0,1,69,1.0,1.0,0.0,0.0,1.0,0,52,2,couple
Graduation,72940.0,182,74,298,162,149,116,0.0,1.0,1.0,1.0,0.0,0,52,0,couple
Graduation,22070.0,10,7,19,8,2,21,0.0,0.0,0.0,0.0,1.0,0,52,1,couple
Graduation,69267.0,778,44,499,95,73,146,0.0,1.0,1.0,1.0,1.0,0,69,0,celib
Master,31788.0,16,7,23,0,8,6,1.0,1.0,0.0,1.0,1.0,1,39,1,celib
PhD,61905.0,167,0,43,6,2,13,0.0,1.0,0.0,1.0,1.0,0,47,1,couple
Graduation,29315.0,13,2,14,8,7,4,1.0,0.0,0.0,1.0,1.0,0,62,2,couple
Graduation,33378.0,33,6,40,3,7,10,1.0,0.0,0.0,1.0,2.0,0,59,2,celib
PhD,66313.0,625,7,99,10,22,7,0.0,1.0,1.0,3.0,1.0,0,59,1,couple
Graduation,60714.0,216,162,224,101,92,162,0.0,1.0,1.0,2.0,1.0,0,66,0,celib
Master,77882.0,68,129,396,188,22,15,0.0,1.0,1.0,1.0,0.0,0,41,0,couple
PhD,69867.0,196,0,512,33,130,54,0.0,1.0,1.0,2.0,0.0,0,36,0,celib
Master,63841.0,635,15,100,20,7,131,0.0,2.0,1.0,2.0,1.0,0,54,1,celib
